Session,Session Date,Session Title / Poster Group,Start Time,Stop Time,# of Papers,Session Chairs,Session Order,Poster ID,Paper ID,Title (Corrected),Authors (Corrected)
Poster 1.1,21-Jun-22,Machine Learning,10:00 AM,12:30 PM,250,,1,1a,11954,Efficient Deep Embedded Subspace Clustering,Jinyu Cai; Jicong Fan; Wenzhong Guo; Shiping Wang; Yunhe Zhang; Zhao Zhang
,,,,,,,2,2a,11402,Clipped Hyperbolic Classifiers Are Super-Hyperbolic Classifiers,Yunhui Guo; Xudong Wang; Yubei Chen; Stella X. Yu
,,,,,,,3,3a,9445,CO-SNE: Dimensionality Reduction and Visualization for Hyperbolic Data,Yunhui Guo; Haoran Guo; Stella X. Yu
,,,,,,,4,4a,8776,Noise Is Also Useful: Negative Correlation-Steered Latent Contrastive Learning,Jiexi Yan; Lei Luo; Chenghao Xu; Cheng Deng; Heng Huang
,,,,,,,5,5a,6978,Active Learning for Open-Set Annotation,Kun-Peng Ning; Xun Zhao; Yu Li; Sheng-Jun Huang
,,,,,,,6,6a,9075,Understanding and Increasing Efficiency of Frank-Wolfe Adversarial Training,Theodoros Tsiligkaridis; Jay Roberts
,,,,,,,7,7a,6601,Robust Optimization As Data Augmentation for Large-Scale Graphs,Kezhi Kong; Guohao Li; Mucong Ding; Zuxuan Wu; Chen Zhu; Bernard Ghanem; Gavin Taylor; Tom Goldstein
,,,,,,,8,8a,6298,A Re-Balancing Strategy for Class-Imbalanced Classification Based on Instance Difficulty,Sihao Yu; Jiafeng Guo; Ruqing Zhang; Yixing Fan; Zizhen Wang; Xueqi Cheng
,,,,,,,9,9a,6106,The Devil Is in the Margin: Margin-Based Label Smoothing for Network Calibration,Bingyuan Liu; Ismail Ben Ayed; Adrian Galdran; Jose Dolz
,,,,,,,10,10a,6705,Towards Better Plasticity-Stability Trade-Off in Incremental Learning: A Simple Linear Connector,Guoliang Lin; Hanlu Chu; Hanjiang Lai
,,,,,,,11,11a,10071,GCR: Gradient Coreset Based Replay Buffer Selection for Continual Learning,Rishabh Tiwari; Krishnateja Killamsetty; Rishabh Iyer; Pradeep Shenoy
,,,,,,,12,12a,7829,Learning Bayesian Sparse Networks With Full Experience Replay for Continual Learning,Qingsen Yan; Dong Gong; Yuhang Liu; Anton van den Hengel; Javen Qinfeng Shi
,,,,,,,13,13a,5988,A Variational Bayesian Method for Similarity Learning in Non-Rigid Image Registration,Daniel Grzech; Mohammad Farid Azampour; Ben Glocker; Julia Schnabel; Nassir Navab; Bernhard Kainz; Loïc Le Folgoc
,,,,,,,14,14a,2503,Learning To Learn by Jointly Optimizing Neural Architecture and Weights,Yadong Ding; Yu Wu; Chengyue Huang; Siliang Tang; Yi Yang; Longhui Wei; Yueting Zhuang; Qi Tian
,,,,,,,15,15a,9806,Learning To Prompt for Continual Learning,Zifeng Wang; Zizhao Zhang; Chen-Yu Lee; Han Zhang; Ruoxi Sun; Xiaoqi Ren; Guolong Su; Vincent Perot; Jennifer Dy; Tomas Pfister
,,,,,,,16,16a,2016,Meta-Attention for ViT-Backed Continual Learning,Mengqi Xue; Haofei Zhang; Jie Song; Mingli Song
,,,,,,,17,17a,1343,Multi-Frame Self-Supervised Depth With Transformers,Vitor Guizilini; Rareș Ambruș; Dian Chen; Sergey Zakharov; Adrien Gaidon
,,,,,,,18,18a,10018,Continual Learning With Lifelong Vision Transformer,Zhen Wang; Liu Liu; Yiqun Duan; Yajing Kong; Dacheng Tao
,,,,,,,19,19a,780,Rethinking Bayesian Deep Learning Methods for Semi-Supervised Volumetric Medical Image Segmentation,Jianfeng Wang; Thomas Lukasiewicz
,,,,,,,20,20a,4874,Revisiting Random Channel Pruning for Neural Network Compression,Yawei Li; Kamil Adamczewski; Wen Li; Shuhang Gu; Radu Timofte; Luc Van Gool
